0,1
的,110
跑跑,56
薑餅,46
餅乾,37
遊戲,36
人,36
你,28
玩家,27
囉,26
月,22
水晶,21
吧,21
日,21
1,20
我們,20
一起,17
中,15
在,15
來,14
嗎,14
們,13
時間,13
新,12
烤箱,12
英雄,11
跑,11
大,11
預約,11
更新,10
天天,10
第,10
各位,10
寶箱,10
逃亡,10
哦,9
春天,9
顆,9
前往,9
快樂,9
4,9
和,9
好,9
朋友,9
更,9
就,9
獎勵,9
進行,8
了,8
年,8
3,8
Kki,8
作家,8
集,8
團隊,8
維護,8
提供,8
Land,8
將,7
活動,7
10,7
玩,7
是,7
請,7
鑰匙,7
公告,7
httpsprecookieruncomtw,7
上,6
任務,6
內容,6
小,6
大家,6
要,6
呢,6
送,6
期待,6
純,6
2,6
把,6
愉快,6
好友,6
喔,6
一,6
全新,6
裝置,5
記憶,5
等,5
著,5
寵物,5
優惠券,5
感謝,5
也,5
支持,5
今天,5
下載,5
於,5
準備,5
會,5
努力,5
已,5
所,5
發送,5
營運,5
音樂,4
下,4
最後,4
預告,4
得獎,4
名單,4
300,4
序號,4
下列,4
網址,4
所有,4
至,4
開心,4
天,4
禮物,4
快,4
可愛,4
溫暖,4
究竟,4
喜歡,4
可以,4
得,4
耐心,4
等候,4
祝,4
分享,4
跑跑跳跳,4
30,4
調整,4
最新,4
版本,4
時,4
感謝您,4
裡見,4
個,4
逃出,4
起來,4
11,4
歡迎,4
馬上,4
甜甜,4
圈,4
一個,4
補償,4
持續,4
事前,4
全球,4
倒數,4
開放,4
後,4
進度,4
目前,3
設定,3
小島,3
以上,3
造成,3
不便,3
COMINGSOON,3
500,3
送給,3
使用,3
3000,3
幸運,3
中獎,3
位,3
到,3
春夏秋冬,3
2017,3
2300,3
讓,3
參加,3
29,3
5,3
三,3
別忘了,3
突破,3
萬,3
7,3
一探,3
6,3
登場,3
吃,3
小時,3
作業,3
記得,3
跳,3
Run,3
火力,3
全開,3
28,3
700,3
創作,3
httpsgooglxuxcFc,3
帶來,3
今年,3
2016,3
有,3
與,3
寶物,3
預計,3
為,3
